FullGeoName_x,YEAR_x,STATE,RATE_x,DEATHS_x,FullGeoName_y,YEAR_y,RATE_y,DEATHS_y,URL
Az,2016,AZ,17.7,"1,271",Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2016,AZ,17.7,"1,271",Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2016,AZ,17.7,"1,271",Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2016,AZ,17.7,"1,271",Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2016,AZ,17.7,"1,271",Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2016,AZ,17.7,"1,271",Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2016,AZ,17.7,"1,271",Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2015,AZ,18.2,"1,276",Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2015,AZ,18.2,"1,276",Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2015,AZ,18.2,"1,276",Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2015,AZ,18.2,"1,276",Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2015,AZ,18.2,"1,276",Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2015,AZ,18.2,"1,276",Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2015,AZ,18.2,"1,276",Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2015,AZ,18.2,"1,276",Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2015,AZ,18.2,"1,276",Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2014,AZ,18.0,"1,244",Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
